Date,Name,Close,High,Low,Open,Volume
05/29/2001,Golden Ocean Group Ltd,113.3904418395,114.2921550947,112.7141568981,114.1118124436,"181,500",
05/30/2001,Golden Ocean Group Ltd,113.1650135257,114.2921550947,112.4887285843,113.6609558161,"167,100",
05/31/2001,Golden Ocean Group Ltd,113.7511271416,113.7511271416,111.4517583408,113.7060414788,"101,300",
06/01/2001,Golden Ocean Group Ltd,114.1568981064,117.222723174,112.173128945,114.0667267809,"124,500",
06/04/2001,Golden Ocean Group Ltd,114.788097385,116.0504959423,114.2019837692,114.2470694319,"124,600",
06/05/2001,Golden Ocean Group Ltd,115.2840396754,116.2759242561,114.788097385,116.095581605,"113,400",
06/06/2001,Golden Ocean Group Ltd,115.2389540126,116.6366095582,114.3372407574,115.6898106402,"114,500",
06/07/2001,Golden Ocean Group Ltd,115.9603246168,117.1776375113,113.8412984671,115.8701532913,"101,000",
06/08/2001,Golden Ocean Group Ltd,114.0667267809,116.6816952209,114.0667267809,116.6816952209,"113,100",
06/11/2001,Golden Ocean Group Ltd,109.6934174932,115.6898106402,109.558160505,115.6898106402,"180,400",
06/12/2001,Golden Ocean Group Ltd,107.7998196573,109.1073038774,103.742110009,109.1073038774,"241,400",
06/13/2001,Golden Ocean Group Ltd,106.4021641118,108.2506762849,104.869251578,108.1605049594,"93,000",
06/14/2001,Golden Ocean Group Ltd,106.6275924256,107.9801623084,106.4021641118,106.8079350766,"80,800",
06/15/2001,Golden Ocean Group Ltd,108.1605049594,108.2055906222,105.9513074842,106.4021641118,"90,800",
06/18/2001,Golden Ocean Group Ltd,105.0946798918,108.2055906222,104.8241659152,107.2362488729,"233,100",
06/19/2001,Golden Ocean Group Ltd,105.0946798918,105.9513074842,104.5987376014,104.6438232642,"141,700",
06/20/2001,Golden Ocean Group Ltd,103.9675383228,105.8611361587,103.9224526601,105.6357078449,"131,800",
06/21/2001,Golden Ocean Group Ltd,99.1433724076,104.1478809739,91.9747520289,104.1478809739,"443,400",
06/22/2001,Golden Ocean Group Ltd,99.1884580703,99.1884580703,94.6798917944,97.8809738503,"298,100",
06/25/2001,Golden Ocean Group Ltd,98.5121731289,100.5410279531,95.8070333634,100.0901713255,"133,900",
06/26/2001,Golden Ocean Group Ltd,97.8358881876,97.8358881876,95.8070333634,96.4833183048,"72,600",
06/27/2001,Golden Ocean Group Ltd,95.7619477006,97.8358881876,95.3561767358,96.7538322813,"261,400",
06/28/2001,Golden Ocean Group Ltd,92.876465284,96.4833183048,90.3967538323,95.6266907124,"154,700",
06/29/2001,Golden Ocean Group Ltd,90.1713255185,98.5121731289,90.1713255185,93.3273219116,"160,700",
