Date,Name,Close,High,Low,Open,Volume
10/29/2002,GameStop Corp Class A,2.25,2.32,2.2275,2.32,"608,900",
10/30/2002,GameStop Corp Class A,2.25,2.31875,2.245,2.2875,"615,800",
10/31/2002,GameStop Corp Class A,2.2375,2.26875,2.225,2.26875,"205,500",
11/01/2002,GameStop Corp Class A,2.20375,2.2375,2.1475,2.2375,"342,800",
11/04/2002,GameStop Corp Class A,2.26,2.29375,2.235,2.235,"167,100",
11/05/2002,GameStop Corp Class A,2.34375,2.34375,2.23875,2.26125,"278,100",
11/06/2002,GameStop Corp Class A,2.325,2.3725,2.3125,2.34625,"113,800",
11/07/2002,GameStop Corp Class A,2.30875,2.345,2.28125,2.30625,"104,300",
11/08/2002,GameStop Corp Class A,2.12875,2.30875,2.12875,2.30875,"283,400",
11/11/2002,GameStop Corp Class A,2.175,2.185,2.1125,2.1375,"135,200",
11/12/2002,GameStop Corp Class A,2.3,2.3775,2.18,2.18125,"316,500",
11/13/2002,GameStop Corp Class A,2.375,2.395,2.2525,2.3,"470,800",
11/14/2002,GameStop Corp Class A,2.375,2.44125,2.34375,2.4075,"219,400",
11/15/2002,GameStop Corp Class A,2.52125,2.55,2.3875,2.3875,"313,400",
11/18/2002,GameStop Corp Class A,2.53,2.61875,2.475,2.6125,"515,000",
11/19/2002,GameStop Corp Class A,2.3875,2.3875,2.2,2.38125,"1,175,000",
11/20/2002,GameStop Corp Class A,2.40625,2.44375,2.31875,2.3875,"269,300",
11/21/2002,GameStop Corp Class A,2.43,2.4625,2.34375,2.425,"364,400",
11/22/2002,GameStop Corp Class A,2.3125,2.43,2.2875,2.43,"477,100",
11/25/2002,GameStop Corp Class A,2.32,2.36875,2.3125,2.3375,"212,800",
11/26/2002,GameStop Corp Class A,2.3125,2.35375,2.2575,2.32125,"223,300",
11/27/2002,GameStop Corp Class A,2.33375,2.35875,2.31,2.325,"177,300",
11/29/2002,GameStop Corp Class A,2.325,2.39375,2.325,2.39375,"57,700",
12/02/2002,GameStop Corp Class A,2.3625,2.46875,2.34375,2.375,"466,000",
12/03/2002,GameStop Corp Class A,2.3825,2.41625,2.2825,2.34375,"208,800",
12/04/2002,GameStop Corp Class A,2.35,2.40625,2.35,2.36875,"193,400",
12/05/2002,GameStop Corp Class A,2.40625,2.46625,2.35,2.35625,"307,900",
12/06/2002,GameStop Corp Class A,2.4025,2.4125,2.34375,2.39375,"140,900",
12/09/2002,GameStop Corp Class A,2.26875,2.34,2.24375,2.325,"175,900",
12/10/2002,GameStop Corp Class A,2.265,2.325,2.255,2.29375,"286,200",
12/11/2002,GameStop Corp Class A,2.15125,2.295,2.14375,2.275,"373,600",
12/12/2002,GameStop Corp Class A,2.2625,2.2625,2.14375,2.15125,"207,400",
12/13/2002,GameStop Corp Class A,1.975,2.2125,1.975,2.2125,"645,400",
12/16/2002,GameStop Corp Class A,2,2.03625,1.9875,2,"376,400",
12/17/2002,GameStop Corp Class A,1.8625,2.03,1.81875,2.025,"820,200",
12/18/2002,GameStop Corp Class A,1.665,1.7125,1.585,1.6875,"1,964,300",
12/19/2002,GameStop Corp Class A,1.165,1.3125,1.1275,1.24125,"4,871,600",
12/20/2002,GameStop Corp Class A,1.18375,1.20625,1.14125,1.1875,"2,938,600",
12/23/2002,GameStop Corp Class A,1.175,1.19875,1.15625,1.18,"1,280,400",
12/24/2002,GameStop Corp Class A,1.14375,1.15,1.115,1.1375,"526,000",
12/26/2002,GameStop Corp Class A,1.15,1.175,1.145,1.15625,"325,300",
12/27/2002,GameStop Corp Class A,1.16875,1.1725,1.135,1.15,"514,500",
12/30/2002,GameStop Corp Class A,1.21625,1.2175,1.14875,1.15625,"315,300",
12/31/2002,GameStop Corp Class A,1.225,1.23125,1.15625,1.21625,"360,200",
01/02/2003,GameStop Corp Class A,1.215,1.24375,1.1975,1.225,"351,900",
01/03/2003,GameStop Corp Class A,1.23375,1.24625,1.2075,1.21875,"236,800",
01/06/2003,GameStop Corp Class A,1.235,1.2875,1.21875,1.2875,"351,900",
01/07/2003,GameStop Corp Class A,1.2625,1.29125,1.25,1.275,"438,000",
01/08/2003,GameStop Corp Class A,1.26875,1.34375,1.24625,1.34375,"411,100",
01/09/2003,GameStop Corp Class A,1.325,1.36,1.30875,1.30875,"1,280,100",
01/10/2003,GameStop Corp Class A,1.2975,1.33125,1.27625,1.325,"363,300",
01/13/2003,GameStop Corp Class A,1.31875,1.33875,1.3,1.325,"203,600",
01/14/2003,GameStop Corp Class A,1.2375,1.315,1.225,1.315,"674,300",
01/15/2003,GameStop Corp Class A,1.1925,1.23625,1.09125,1.23625,"1,218,700",
01/16/2003,GameStop Corp Class A,1.19375,1.22125,1.18125,1.205,"332,800",
01/17/2003,GameStop Corp Class A,1.19375,1.20625,1.15875,1.18125,"342,700",
01/21/2003,GameStop Corp Class A,1.20625,1.20875,1.14375,1.18125,"483,700",
01/22/2003,GameStop Corp Class A,1.2375,1.2375,1.1675,1.19375,"283,600",
01/23/2003,GameStop Corp Class A,1.21875,1.2375,1.16875,1.235,"316,400",
01/24/2003,GameStop Corp Class A,1.17625,1.19875,1.13375,1.1875,"709,500",
01/27/2003,GameStop Corp Class A,1.125,1.18125,1.125,1.165,"449,600",
01/28/2003,GameStop Corp Class A,1.12375,1.15625,1.1125,1.1375,"723,400",
01/29/2003,GameStop Corp Class A,1.125,1.13625,1.1025,1.12375,"445,100",
01/30/2003,GameStop Corp Class A,1.10875,1.1475,1.0625,1.1375,"492,600",
01/31/2003,GameStop Corp Class A,1.0625,1.11625,1.0625,1.10875,"276,000",
02/03/2003,GameStop Corp Class A,1.0325,1.10125,1.025,1.075,"268,700",
02/04/2003,GameStop Corp Class A,1.06125,1.08125,1.02,1.025,"311,200",
02/05/2003,GameStop Corp Class A,1.03125,1.0775,1.02375,1.0625,"460,700",
02/06/2003,GameStop Corp Class A,1,1.05,0.9775,1.03125,"451,200",
02/07/2003,GameStop Corp Class A,0.99,1.02375,0.9875,1.005,"300,400",
02/10/2003,GameStop Corp Class A,0.965,1,0.95625,0.9775,"416,900",
02/11/2003,GameStop Corp Class A,0.94875,0.99875,0.9375,0.9775,"657,000",
02/12/2003,GameStop Corp Class A,1,1.01875,0.95625,0.95625,"264,500",
02/13/2003,GameStop Corp Class A,0.99,1.0225,0.965,1.005,"402,100",
02/14/2003,GameStop Corp Class A,1.02875,1.03125,0.985,0.99375,"241,100",
02/18/2003,GameStop Corp Class A,1.275,1.28125,1.11625,1.125,"1,773,700",
02/19/2003,GameStop Corp Class A,1.3,1.31625,1.25,1.28125,"572,700",
02/20/2003,GameStop Corp Class A,1.27375,1.30625,1.27125,1.3,"336,900",
02/21/2003,GameStop Corp Class A,1.325,1.33125,1.28125,1.285,"527,200",
02/24/2003,GameStop Corp Class A,1.29375,1.34375,1.255,1.30875,"256,100",
02/25/2003,GameStop Corp Class A,1.28875,1.3,1.225,1.25,"309,900",
02/26/2003,GameStop Corp Class A,1.27,1.31375,1.26875,1.28125,"112,700",
02/27/2003,GameStop Corp Class A,1.2825,1.3475,1.24375,1.25,"379,700",
02/28/2003,GameStop Corp Class A,1.3125,1.3225,1.275,1.2875,"319,600",
03/03/2003,GameStop Corp Class A,1.3475,1.36125,1.31875,1.31875,"248,000",
03/04/2003,GameStop Corp Class A,1.3,1.35,1.29375,1.35,"206,900",
03/05/2003,GameStop Corp Class A,1.3125,1.31875,1.28125,1.295,"380,100",
03/06/2003,GameStop Corp Class A,1.35,1.3725,1.2925,1.3125,"199,200",
03/07/2003,GameStop Corp Class A,1.365,1.3825,1.33125,1.35125,"340,900",
03/10/2003,GameStop Corp Class A,1.325,1.3675,1.325,1.365,"184,800",
03/11/2003,GameStop Corp Class A,1.34,1.3625,1.325,1.3375,"108,900",
03/12/2003,GameStop Corp Class A,1.375,1.39625,1.33375,1.3425,"269,900",
03/13/2003,GameStop Corp Class A,1.4425,1.48125,1.38875,1.4,"669,400",
03/14/2003,GameStop Corp Class A,1.5125,1.5425,1.5,1.5,"969,700",
03/17/2003,GameStop Corp Class A,1.51875,1.54125,1.485,1.5,"320,000",
03/18/2003,GameStop Corp Class A,1.5125,1.5625,1.51125,1.53625,"201,300",
03/19/2003,GameStop Corp Class A,1.51625,1.54875,1.5,1.51875,"311,400",
03/20/2003,GameStop Corp Class A,1.475,1.4825,1.375,1.40625,"697,400",
03/21/2003,GameStop Corp Class A,1.515,1.5375,1.48125,1.48125,"329,200",
03/24/2003,GameStop Corp Class A,1.47125,1.50375,1.45625,1.5,"163,900",
03/25/2003,GameStop Corp Class A,1.4875,1.5,1.44875,1.46875,"292,300",
03/26/2003,GameStop Corp Class A,1.5,1.50875,1.47,1.48125,"484,000",
03/27/2003,GameStop Corp Class A,1.5,1.51875,1.46875,1.4875,"196,600",
03/28/2003,GameStop Corp Class A,1.505,1.54125,1.4625,1.5,"192,400",
03/31/2003,GameStop Corp Class A,1.5,1.525,1.46,1.5,"342,300",
04/01/2003,GameStop Corp Class A,1.50125,1.5225,1.48125,1.50125,"200,100",
04/02/2003,GameStop Corp Class A,1.5225,1.55,1.52125,1.535,"263,100",
04/03/2003,GameStop Corp Class A,1.4975,1.5425,1.4975,1.52375,"156,800",
04/04/2003,GameStop Corp Class A,1.61,1.61,1.4975,1.5175,"264,800",
04/07/2003,GameStop Corp Class A,1.61875,1.67,1.61,1.61875,"712,800",
04/08/2003,GameStop Corp Class A,1.6,1.65875,1.5775,1.61875,"338,900",
04/09/2003,GameStop Corp Class A,1.57,1.6175,1.55625,1.5875,"144,200",
04/10/2003,GameStop Corp Class A,1.54125,1.575,1.5,1.55,"106,500",
04/11/2003,GameStop Corp Class A,1.5525,1.61,1.55125,1.5875,"208,700",
04/14/2003,GameStop Corp Class A,1.59375,1.6025,1.55125,1.5775,"109,300",
04/15/2003,GameStop Corp Class A,1.56875,1.59375,1.565,1.58125,"88,400",
04/16/2003,GameStop Corp Class A,1.57875,1.6125,1.57125,1.57125,"307,600",
04/17/2003,GameStop Corp Class A,1.5475,1.58625,1.5475,1.56875,"153,200",
04/21/2003,GameStop Corp Class A,1.575,1.58,1.54625,1.55,"76,800",
04/22/2003,GameStop Corp Class A,1.5875,1.62625,1.54125,1.57625,"191,000",
04/23/2003,GameStop Corp Class A,1.625,1.64,1.59,1.6,"94,500",
04/24/2003,GameStop Corp Class A,1.55,1.62125,1.50625,1.6125,"353,300",
04/25/2003,GameStop Corp Class A,1.51,1.57125,1.505,1.56875,"122,400",
04/28/2003,GameStop Corp Class A,1.535,1.56375,1.5225,1.5225,"159,400",
04/29/2003,GameStop Corp Class A,1.585,1.6,1.55625,1.55625,"176,000",
